gate,value,limit,result
within_batch_nl_sd,0.02044733883255551,<= 0.03000 deg,PASS
a_return_nl_shift,0.012806666666666189,0.05,PASS
a_return_curve_correlation,0.9985519135942399,>= 0.98000,PASS
a_return_centered_rmse,0.03740278899443748,<= 0.10000 deg,PASS
cross_jig_nl_delta,0.014517999999999809,0.05,PASS
top_tail_delta,-0.2946303333333329,abs <= 0.10000 deg,FAIL
bottom_tail_delta,-0.2801123333333333,abs <= 0.10000 deg,FAIL
zero_shift_curve_correlation,0.967993302605919,>= 0.98000,FAIL
zero_shift_centered_rmse,0.1750988971980137,<= 0.10000 deg,FAIL
closure,0.04895,abs <= 0.20000 deg,PASS
data_health,invalid=0; config=PASS,0 invalid OFFICIAL; CONFIG=PASS,PASS
