leg,motor_id,jig_id,kind,rank,point_index,sweep_angle_deg,mean_error_deg,pointwise_sd_deg,selection_count,selection_rate
A1,p05,JIG1,TOP,1,344,344.0,1.5416266666666667,0.010785069927141518,3,1.0
A1,p05,JIG1,TOP,2,334,334.0,1.4797766666666667,0.01861573886079547,3,1.0
A1,p05,JIG1,TOP,3,343,343.0,1.4744666666666666,0.016949113054473747,3,1.0
A1,p05,JIG1,TOP,4,333,333.0,1.4149766666666668,0.00955369213096865,3,1.0
A1,p05,JIG1,TOP,5,304,304.0,1.3515866666666667,0.03673691921396422,3,1.0
A1,p05,JIG1,BOTTOM,1,116,116.0,-1.63865,0.06659873046838052,3,1.0
A1,p05,JIG1,BOTTOM,2,156,156.0,-1.6337666666666666,0.030016119558219614,3,1.0
A1,p05,JIG1,BOTTOM,3,157,157.0,-1.5902933333333333,0.029335003550934425,2,0.6666666666666666
A1,p05,JIG1,BOTTOM,4,117,117.0,-1.5804466666666668,0.06243856206971252,3,1.0
A1,p05,JIG1,BOTTOM,5,76,76.0,-1.5796299999999999,0.08219860096133029,1,0.3333333333333333
B,p05,JIG1,TOP,1,244,244.0,1.4931133333333333,0.020107715766176256,3,1.0
B,p05,JIG1,TOP,2,243,243.0,1.4667066666666668,0.032105932992724816,3,1.0
B,p05,JIG1,TOP,3,234,234.0,1.4064633333333332,0.018142376727797588,3,1.0
B,p05,JIG1,TOP,4,233,233.0,1.3718566666666667,0.023766363485677275,3,1.0
B,p05,JIG1,TOP,5,242,242.0,1.2345,0.029519625675133533,3,1.0
B,p05,JIG1,BOTTOM,1,137,137.0,-1.7941466666666666,0.02506203170801078,3,1.0
B,p05,JIG1,BOTTOM,2,136,136.0,-1.7762366666666667,0.029881570128313766,3,1.0
B,p05,JIG1,BOTTOM,3,138,138.0,-1.62277,0.028125733768205978,3,1.0
B,p05,JIG1,BOTTOM,4,176,176.0,-1.5958066666666666,0.023688886283093402,3,1.0
B,p05,JIG1,BOTTOM,5,147,147.0,-1.5270533333333332,0.030628268533061605,3,1.0
A2,p05,JIG1,TOP,1,334,334.0,1.6063033333333332,0.027944690610799947,3,1.0
A2,p05,JIG1,TOP,2,264,264.0,1.5742,0.013912264373566184,3,1.0
A2,p05,JIG1,TOP,3,254,254.0,1.5574933333333334,0.007552829491874738,3,1.0
A2,p05,JIG1,TOP,4,333,333.0,1.5528333333333333,0.029303140332280694,3,1.0
A2,p05,JIG1,TOP,5,263,263.0,1.5386766666666667,0.029372812826376278,2,0.6666666666666666
A2,p05,JIG1,BOTTOM,1,76,76.0,-1.64084,0.026497190417098984,3,1.0
A2,p05,JIG1,BOTTOM,2,77,77.0,-1.6010133333333334,0.02503915400594298,3,1.0
A2,p05,JIG1,BOTTOM,3,116,116.0,-1.5728766666666667,0.020129839376739563,3,1.0
A2,p05,JIG1,BOTTOM,4,117,117.0,-1.464176666666667,0.016265774907250268,3,1.0
A2,p05,JIG1,BOTTOM,5,78,78.0,-1.4053766666666665,0.023352645103570914,3,1.0
