motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P013,JIG7,10,TOP,1,244,244.0,1.6512022018432617,0.019877108020489705,10,1.0
P013,JIG7,10,TOP,2,274,274.0,1.6190156936645508,0.025824831534135798,10,1.0
P013,JIG7,10,TOP,3,234,234.0,1.578434944152832,0.0365161012811358,9,0.9
P013,JIG7,10,TOP,4,243,243.0,1.573216438293457,0.027665043054559142,10,1.0
P013,JIG7,10,TOP,5,264,264.0,1.5662641525268555,0.024391426269177365,7,0.7
P013,JIG7,10,BOTTOM,1,137,137.0,-1.0748491287231445,0.025091561104541794,10,1.0
P013,JIG7,10,BOTTOM,2,136,136.0,-1.052164077758789,0.02409610530203483,10,1.0
P013,JIG7,10,BOTTOM,3,337,337.0,-1.0507993698120117,0.012860993503361876,10,1.0
P013,JIG7,10,BOTTOM,4,336,336.0,-1.041478157043457,0.010673989295315267,10,1.0
P013,JIG7,10,BOTTOM,5,167,167.0,-1.0249128341674805,0.01788230664782331,10,1.0
P013,JIG8,10,TOP,1,234,234.0,1.9220409393310547,0.03783367679367753,10,1.0
P013,JIG8,10,TOP,2,264,264.0,1.8259878158569336,0.01635524732855251,10,1.0
P013,JIG8,10,TOP,3,233,233.0,1.8215761184692383,0.039803923557989514,10,1.0
P013,JIG8,10,TOP,4,224,224.0,1.814640998840332,0.025987868526613753,10,1.0
P013,JIG8,10,TOP,5,263,263.0,1.7740087509155273,0.023657288247690887,5,0.5
P013,JIG8,10,BOTTOM,1,57,57.0,-1.1145801544189453,0.0418086756735218,10,1.0
P013,JIG8,10,BOTTOM,2,56,56.0,-1.0824966430664062,0.03693608328953999,10,1.0
P013,JIG8,10,BOTTOM,3,96,96.0,-1.0805482864379883,0.011095314799751305,10,1.0
P013,JIG8,10,BOTTOM,4,97,97.0,-1.0504560470581055,0.009060823996364912,9,0.9
P013,JIG8,10,BOTTOM,5,47,47.0,-1.0238227844238281,0.03404891860534598,4,0.4
