Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.9632104078952585,-0.06704191756628475,0.8903736285406472,0.7927651984006389,0.019304030034302935,0.49247050297388234,-5.294119802890891,7.220540618681407
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,3,5.609229401083185,-0.03436457227805967,0.9596856682579181,0.9209965818596465,0.011918993437532265,1.6428470544867146,-15.26478527322501,26.483244075391383
ALL,A36_Deg,NL_RobustP2P_Deg,3,4.174804807958878,0.08727686856657568,0.8227282790841007,0.6768818212046874,0.02410445607568296,2.8844329355049694,-32.47480007056726,40.82440968648502
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,3,-1.3042154464259919,0.6279541272045553,-0.7071444498539561,0.5000532729592553,0.0299832360984892,1.304076494995278,-17.873811391835993,15.265380498984008
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,0.005345714285714295,0.5235473333333365,0.2723281237055806,0.07416260696100208,0.040802239280285986,0.018887766620708943,-0.23464224839701353,0.2453336769684421
remount01,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.9632104078952585,-0.06704191756628475,0.8903736285406472,0.7927651984006389,0.019304030034302935,0.49247050297388234,-5.294119802890891,7.220540618681407
remount01,RMS_AC_Deg,NL_RobustP2P_Deg,3,5.609229401083185,-0.03436457227805967,0.9596856682579181,0.9209965818596465,0.011918993437532265,1.6428470544867146,-15.26478527322501,26.483244075391383
remount01,A36_Deg,NL_RobustP2P_Deg,3,4.174804807958878,0.08727686856657568,0.8227282790841007,0.6768818212046874,0.02410445607568296,2.8844329355049694,-32.47480007056726,40.82440968648502
remount01,ClosureErrorDeg,NL_RobustP2P_Deg,3,-1.3042154464259919,0.6279541272045553,-0.7071444498539561,0.5000532729592553,0.0299832360984892,1.304076494995278,-17.873811391835993,15.265380498984008
remount01,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,0.005345714285714295,0.5235473333333365,0.2723281237055806,0.07416260696100208,0.040802239280285986,0.018887766620708943,-0.23464224839701353,0.2453336769684421
