motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,01,3,TOP,1,131,131.0,0.10056666666666665,0.012045249409345298,2,0.6666666666666666
P03,01,3,TOP,2,111,111.0,0.09712333333333334,0.009783503121752106,1,0.3333333333333333
P03,01,3,TOP,3,300,300.0,0.09597666666666667,0.008956965632028142,1,0.3333333333333333
P03,01,3,TOP,4,294,294.0,0.09533666666666667,0.01112248323592053,0,0.0
P03,01,3,TOP,5,11,11.0,0.09405999999999999,0.006028731209798628,0,0.0
P03,01,3,BOTTOM,1,108,108.0,-0.5014366666666666,0.044973961726017996,3,1.0
P03,01,3,BOTTOM,2,148,148.0,-0.44846,0.004519966814037461,3,1.0
P03,01,3,BOTTOM,3,347,347.0,-0.37532666666666664,0.08674330425648619,2,0.6666666666666666
P03,01,3,BOTTOM,4,227,227.0,-0.37107333333333337,0.10881429425095461,2,0.6666666666666666
P03,01,3,BOTTOM,5,267,267.0,-0.36826333333333333,0.029260479034584057,0,0.0
P03,02,3,TOP,1,22,22.0,0.09702,0.016610234796654744,2,0.6666666666666666
P03,02,3,TOP,2,111,111.0,0.09290999999999999,0.0061094762459641344,0,0.0
P03,02,3,TOP,3,33,33.0,0.09227999999999999,0.012708843377742918,1,0.3333333333333333
P03,02,3,TOP,4,231,231.0,0.09214333333333334,0.005889179342941872,0,0.0
P03,02,3,TOP,5,122,122.0,0.09210999999999998,0.00794030226124925,0,0.0
P03,02,3,BOTTOM,1,108,108.0,-0.46315666666666666,0.13423784463903365,2,0.6666666666666666
P03,02,3,BOTTOM,2,227,227.0,-0.45392000000000005,0.034339039008102694,3,1.0
P03,02,3,BOTTOM,3,148,148.0,-0.43855333333333335,0.053425920987226184,2,0.6666666666666666
P03,02,3,BOTTOM,4,307,307.0,-0.4148133333333333,0.06536684659162727,2,0.6666666666666666
P03,02,3,BOTTOM,5,348,348.0,-0.40771666666666667,0.037145429507993766,1,0.3333333333333333
