motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,01,3,1,geometric,0.023495700365154915,0.0006849453711141888
P03,01,3,2,geometric,0.005811518860122766,0.004034475989163585
P03,01,3,3,motor,0.006277940332183064,0.0013810656652318573
P03,01,3,4,geometric,0.004110083709740629,0.00011610670464290521
P03,01,3,6,motor,0.0044939385557054195,0.0015153463907703537
P03,01,3,8,geometric,0.002150953924532374,0.0008265737542749608
P03,01,3,9,motor,0.0284366835146283,0.004035698955060282
P03,01,3,12,motor,0.013335844360727397,0.004793640171438976
P03,01,3,18,motor,0.02714053119513581,0.0016928485313264107
P03,01,3,27,motor,0.01841465225839693,0.0009769225824073594
P03,01,3,36,motor,0.14832096850285345,0.00661567222865844
P03,01,3,45,motor,0.014713826726194585,0.003582879721892963
P03,01,3,72,motor,0.029305837213187122,0.001777552280279126
P03,01,3,108,motor,0.006655298292021644,0.003056831767632097
P03,02,3,1,geometric,0.02444531287901681,0.0009438789084348785
P03,02,3,2,geometric,0.007370716291518478,0.0004967048767524898
P03,02,3,3,motor,0.0045160506539356216,0.0008730631189140549
P03,02,3,4,geometric,0.006598596539426631,0.0023516534747362703
P03,02,3,6,motor,0.002580638570389334,0.0010491361612074044
P03,02,3,8,geometric,0.0037647697130102544,0.0010623534242198995
P03,02,3,9,motor,0.032860393294637594,0.0024332665842445125
P03,02,3,12,motor,0.01213129610287561,0.0016509656055781457
P03,02,3,18,motor,0.026178480702333414,0.003402597914907237
P03,02,3,27,motor,0.02175657800859246,0.0032622144347894235
P03,02,3,36,motor,0.15025769290850985,4.574210971181608e-05
P03,02,3,45,motor,0.017723706121009767,0.0012331320345746492
P03,02,3,72,motor,0.030514602678320332,0.002132001428609648
P03,02,3,108,motor,0.005919557190994019,0.0006785493007762571
