motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,v5-4,3,TOP,1,131,131.0,0.10056666666666665,0.012045249409345298,2,0.6666666666666666
P03,v5-4,3,TOP,2,111,111.0,0.09712333333333334,0.009783503121752106,1,0.3333333333333333
P03,v5-4,3,TOP,3,300,300.0,0.09597666666666667,0.008956965632028142,1,0.3333333333333333
P03,v5-4,3,TOP,4,294,294.0,0.09533666666666667,0.01112248323592053,0,0.0
P03,v5-4,3,TOP,5,11,11.0,0.09405999999999999,0.006028731209798628,0,0.0
P03,v5-4,3,BOTTOM,1,108,108.0,-0.5014366666666666,0.044973961726017996,3,1.0
P03,v5-4,3,BOTTOM,2,148,148.0,-0.44846,0.004519966814037461,3,1.0
P03,v5-4,3,BOTTOM,3,347,347.0,-0.37532666666666664,0.08674330425648619,2,0.6666666666666666
P03,v5-4,3,BOTTOM,4,227,227.0,-0.37107333333333337,0.10881429425095461,2,0.6666666666666666
P03,v5-4,3,BOTTOM,5,267,267.0,-0.36826333333333333,0.029260479034584057,0,0.0
P03,v5-4a,3,TOP,1,280,280.0,0.10507333333333334,0.0077704718861426525,2,0.6666666666666666
P03,v5-4a,3,TOP,2,172,172.0,0.10076333333333333,0.01502153898018886,1,0.3333333333333333
P03,v5-4a,3,TOP,3,161,161.0,0.09877000000000001,0.003125011999976956,0,0.0
P03,v5-4a,3,TOP,4,291,291.0,0.09618333333333333,0.007535544660695298,1,0.3333333333333333
P03,v5-4a,3,TOP,5,55,55.0,0.09583666666666667,0.019608371511508373,1,0.3333333333333333
P03,v5-4a,3,BOTTOM,1,108,108.0,-0.42257000000000006,0.15131264091278035,2,0.6666666666666666
P03,v5-4a,3,BOTTOM,2,307,307.0,-0.41268,0.016169257867941864,2,0.6666666666666666
P03,v5-4a,3,BOTTOM,3,227,227.0,-0.4109066666666667,0.015903965962404874,3,1.0
P03,v5-4a,3,BOTTOM,4,348,348.0,-0.3989566666666667,0.016832496348828732,1,0.3333333333333333
P03,v5-4a,3,BOTTOM,5,148,148.0,-0.39687333333333336,0.008695759502960814,1,0.3333333333333333
