Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,6,0.4285205554894977,0.2913719145201411,0.8277789999003756,0.6852180726760664,0.015874166583415193,0.14522191323949452,0.02538452433666094,0.8316565866423344
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,6,4.582335232916031,-0.026241847787688122,0.9248832860004584,0.8554090927230056,0.010758619047708726,0.9419772682798327,1.9674063361712153,7.197264129660846
ALL,A36_Deg,NL_RobustP2P_Deg,6,4.488325557799561,-0.1074279745281237,0.9524063037017276,0.9070777673307877,0.008624736916544517,0.7182769202660021,2.4943888271411394,6.482262288457982
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,6,-0.16460751108828187,0.5637648538258365,-0.05644892374708657,0.0031864809922057535,0.02824834431221383,1.4556968633923597,-4.205622003865472,3.876406981688908
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,6,0.0002176312123716209,0.548165,0.5596834856371384,0.31324560409493707,0.023446971871483892,0.00016111998664849434,-0.00022963787056459937,0.0006649002953078412
V5.4,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.5436340654773052,0.2313612537872578,0.9886686179313867,0.9774656360823583,0.005790503592692411,0.08254268002843199,-0.5051532269639515,1.5924213579185618
V5.4,RMS_AC_Deg,NL_RobustP2P_Deg,3,3.925337049797729,0.06438754687867199,0.9920921011043108,0.9842467370735664,0.004841488943138956,0.4966040103342783,-2.3845135055096107,10.235187605105068
V5.4,A36_Deg,NL_RobustP2P_Deg,3,4.1021782825230595,-0.0460843891685252,0.9949696315765882,0.9899645677596516,0.003864218941890995,0.41302158319816107,-1.145673953592775,9.350030518638894
V5.4,ClosureErrorDeg,NL_RobustP2P_Deg,3,0.9049634665245437,0.4772519022746986,0.33611937381003804,0.11297623345045193,0.03632965818429491,2.535742381868463,-31.31417923749615,33.12410617054523
V5.4,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,-0.00308582969432315,0.7449329235807864,-0.9884401590605912,0.9770139480437264,0.005848249274103545,0.0004733188099862583,-0.009099818494008548,0.002928159105362248
V5.4a,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.25139551987659847,0.3857382890679646,0.899220068904428,0.8085967323204855,0.009841754698688554,0.12231119711180906,-1.3026905506260473,1.8054815903792443
V5.4a,RMS_AC_Deg,NL_RobustP2P_Deg,3,4.425327236424628,-0.01407996519510768,0.9178238395036121,0.842400600361151,0.008930486980736287,1.9140943274768851,-19.895155288496674,28.74580976134593
V5.4a,A36_Deg,NL_RobustP2P_Deg,3,3.6752915256433463,0.0054258804467705035,0.8353837699260046,0.6978660430557845,0.012365099959937391,2.418274125072154,-27.05129950752344,34.40188255881013
V5.4a,ClosureErrorDeg,NL_RobustP2P_Deg,3,-1.1040056535286338,0.6394078732453179,-0.6363072194786025,0.40488687756059283,0.017353921382203312,1.338456342471142,-18.110431940966965,15.902420633909696
V5.4a,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,0.0020640322580645076,0.6560972419354834,0.4171131056428646,0.1739833428990354,0.020445242445252677,0.004497353730762636,-0.055079344245005546,0.05920740876113456
