motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,01,3,TOP,1,280,280.0,0.10507333333333334,0.0077704718861426525,2,0.6666666666666666
P03,01,3,TOP,2,172,172.0,0.10076333333333333,0.01502153898018886,1,0.3333333333333333
P03,01,3,TOP,3,161,161.0,0.09877000000000001,0.003125011999976956,0,0.0
P03,01,3,TOP,4,291,291.0,0.09618333333333333,0.007535544660695298,1,0.3333333333333333
P03,01,3,TOP,5,55,55.0,0.09583666666666667,0.019608371511508373,1,0.3333333333333333
P03,01,3,BOTTOM,1,108,108.0,-0.42257000000000006,0.15131264091278035,2,0.6666666666666666
P03,01,3,BOTTOM,2,307,307.0,-0.41268,0.016169257867941864,2,0.6666666666666666
P03,01,3,BOTTOM,3,227,227.0,-0.4109066666666667,0.015903965962404874,3,1.0
P03,01,3,BOTTOM,4,348,348.0,-0.3989566666666667,0.016832496348828732,1,0.3333333333333333
P03,01,3,BOTTOM,5,148,148.0,-0.39687333333333336,0.008695759502960814,1,0.3333333333333333
P03,02,2,TOP,1,292,292.0,0.10582,0.01940301007575886,1,0.5
P03,02,2,TOP,2,261,261.0,0.10503,0.012063241687042495,1,0.5
P03,02,2,TOP,3,173,173.0,0.102415,0.008110514780209696,1,0.5
P03,02,2,TOP,4,172,172.0,0.09861500000000001,0.01745846642749586,1,0.5
P03,02,2,TOP,5,121,121.0,0.09687499999999999,0.011037936854322005,1,0.5
P03,02,2,BOTTOM,1,68,68.0,-0.459915,0.02130512731715067,2,1.0
P03,02,2,BOTTOM,2,69,69.0,-0.45477,0.060853609588914295,1,0.5
P03,02,2,BOTTOM,3,98,98.0,-0.4366,0.07414721707522139,1,0.5
P03,02,2,BOTTOM,4,348,348.0,-0.433655,0.09157739923146978,1,0.5
P03,02,2,BOTTOM,5,108,108.0,-0.42423999999999995,0.1869873172169706,1,0.5
