motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,01,3,1,geometric,0.022746741421468247,0.003581259852365628
P03,01,3,2,geometric,0.005107945370370665,0.0024499686646510775
P03,01,3,3,motor,0.002563843924428425,0.001962869592317262
P03,01,3,4,geometric,0.005012412564095012,0.00013835648430924507
P03,01,3,6,motor,0.002791996795337646,0.001325027225314081
P03,01,3,8,geometric,0.0015468654226767182,0.0006517947054567821
P03,01,3,9,motor,0.02880525694008568,0.0010644603750466501
P03,01,3,12,motor,0.016665318313267962,0.0013337409303286305
P03,01,3,18,motor,0.026550682940825066,0.001348732449893666
P03,01,3,27,motor,0.01807557689120907,0.0017494101601507322
P03,01,3,36,motor,0.14381157227902966,0.0036155727512737473
P03,01,3,45,motor,0.01394318717021543,0.0007348035941245119
P03,01,3,72,motor,0.02919086199142239,0.003225294649542749
P03,01,3,108,motor,0.00851793858401989,0.0034811262630794365
P03,02,2,1,geometric,0.024651586628285257,0.0021088351074745734
P03,02,2,2,geometric,0.0048833768827180185,0.0004030084128226688
P03,02,2,3,motor,0.004917203549890595,0.0018456527837477465
P03,02,2,4,geometric,0.006347337562895607,0.0032652614973629466
P03,02,2,6,motor,0.002825826979439112,0.0010275861344761906
P03,02,2,8,geometric,0.004321753811187674,0.0013881064934010865
P03,02,2,9,motor,0.031090433593643056,0.002585635702301264
P03,02,2,12,motor,0.018166663068711168,0.0009114874625855101
P03,02,2,18,motor,0.0261502416174254,0.0015465858268695221
P03,02,2,27,motor,0.017348887250960364,0.005256350612933222
P03,02,2,36,motor,0.15755036933954486,0.007761575784855998
P03,02,2,45,motor,0.015267431215146657,0.004655571076991697
P03,02,2,72,motor,0.03197861108019025,0.0032042406163616637
P03,02,2,108,motor,0.007829699390566401,0.0012149487606761585
