point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
0,0.0,-0.0011733333333333333,0.0016724931489645431,0.026238981481481485,0.0019429385959424655,0.0,0.0,0.002235,0.0006010407640085655,0.011889958333333334,0.0024887998093712864,0.0,0.0,-0.0011733333333333333,0.0016724931489645431,0.026238981481481485,0.0019429385959424655,0.0,0.0,-0.0011733333333333333,0.026238981481481485,0.0034083333333333335,-0.01434902314814815,0,0.0,0.011889958333333334,-0.01434902314814815
1,1.0,0.08431333333333334,0.005614600015435949,0.11172564814814816,0.0035353765212296903,0.0,0.0,0.08445,0.008131727983645294,0.09410495833333334,0.011221568557025146,0.0,0.0,0.08431333333333334,0.005614600015435949,0.11172564814814816,0.0035353765212296903,0.0,0.0,0.08431333333333334,0.11172564814814816,0.00013666666666665994,-0.01762068981481482,1,1.0,0.09410495833333334,-0.01762068981481482
2,2.0,0.07556,0.022970128428025822,0.10297231481481482,0.02178722513731153,0.0,0.0,0.079525,0.006625590539717943,0.08917995833333334,0.003535749966338091,0.0,0.0,0.07556,0.022970128428025822,0.10297231481481482,0.02178722513731153,0.0,0.0,0.07556,0.10297231481481482,0.003964999999999996,-0.013792356481481485,2,2.0,0.08917995833333334,-0.013792356481481485
3,3.0,0.06403666666666667,0.010919296375377552,0.09144898148148149,0.013192635797159406,0.0,0.0,0.07191,0.008739839815465734,0.08156495833333333,0.005649999242085883,0.0,0.0,0.06403666666666667,0.010919296375377552,0.09144898148148149,0.013192635797159406,0.0,0.0,0.06403666666666667,0.09144898148148149,0.00787333333333333,-0.009884023148148166,3,3.0,0.08156495833333333,-0.009884023148148166
4,4.0,0.07088666666666667,0.014897386795452858,0.09829898148148149,0.01673191382089404,0.0,0.0,0.08837,0.00466690475583121,0.09802495833333333,0.001577064182451358,0.0,0.0,0.07088666666666667,0.014897386795452858,0.09829898148148149,0.01673191382089404,0.0,0.0,0.07088666666666667,0.09829898148148149,0.017483333333333337,-0.00027402314814815865,4,4.0,0.09802495833333333,-0.00027402314814815865
5,5.0,-0.005346666666666667,0.026122221064322482,0.02206564814814815,0.024432992953112846,0.0,0.0,0.012705000000000001,0.03812012657376678,0.022359958333333332,0.04120996714714663,0.0,0.0,-0.005346666666666667,0.026122221064322482,0.02206564814814815,0.024432992953112846,0.0,0.0,-0.005346666666666667,0.02206564814814815,0.018051666666666667,0.0002943101851851822,5,5.0,0.022359958333333332,0.0002943101851851822
6,6.0,-0.09421333333333333,0.013283227519444711,-0.06680101851851851,0.01393479203284764,0.0,0.0,-0.080625,0.017543319241238243,-0.07097004166666668,0.01445347866785839,0.0,0.0,-0.09421333333333333,0.013283227519444711,-0.06680101851851851,0.01393479203284764,0.0,0.0,-0.09421333333333333,-0.06680101851851851,0.013588333333333327,-0.004169023148148168,6,6.0,-0.07097004166666668,-0.004169023148148168
7,7.0,-0.18505000000000002,0.1869530433023223,-0.15763768518518517,0.18931707912407897,0.0,0.3333333333333333,-0.071935,0.012027886347983172,-0.06228004166666667,0.00893804577460332,0.0,0.0,-0.18505000000000002,0.1869530433023223,-0.15763768518518517,0.18931707912407897,0.0,0.3333333333333333,-0.18505000000000002,-0.15763768518518517,0.11311500000000002,0.0953576435185185,7,7.0,-0.06228004166666667,0.0953576435185185
8,8.0,-0.36662,0.04972965312567541,-0.33920768518518524,0.047521069838844576,0.0,0.3333333333333333,-0.09239,0.0015273506473629393,-0.08273504166666668,0.004617191220742791,0.0,0.0,-0.36662,0.04972965312567541,-0.33920768518518524,0.047521069838844576,0.0,0.3333333333333333,-0.36662,-0.33920768518518524,0.27423,0.25647264351851856,8,8.0,-0.08273504166666668,0.25647264351851856
9,9.0,-0.11944666666666666,0.00957022639927256,-0.09203435185185187,0.010852782205098686,0.0,0.0,-0.09729,0.0035779603128039367,-0.08763504166666666,0.0066678008861837884,0.0,0.0,-0.11944666666666666,0.00957022639927256,-0.09203435185185187,0.010852782205098686,0.0,0.0,-0.11944666666666666,-0.09203435185185187,0.022156666666666658,0.004399310185185204,9,9.0,-0.08763504166666666,0.004399310185185204
