motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P03,4a,3,TOP,1,280,280.0,0.10507333333333334,0.0077704718861426525,2,0.6666666666666666
P03,4a,3,TOP,2,172,172.0,0.10076333333333333,0.01502153898018886,1,0.3333333333333333
P03,4a,3,TOP,3,161,161.0,0.09877000000000001,0.003125011999976956,0,0.0
P03,4a,3,TOP,4,291,291.0,0.09618333333333333,0.007535544660695298,1,0.3333333333333333
P03,4a,3,TOP,5,55,55.0,0.09583666666666667,0.019608371511508373,1,0.3333333333333333
P03,4a,3,BOTTOM,1,108,108.0,-0.42257000000000006,0.15131264091278035,2,0.6666666666666666
P03,4a,3,BOTTOM,2,307,307.0,-0.41268,0.016169257867941864,2,0.6666666666666666
P03,4a,3,BOTTOM,3,227,227.0,-0.4109066666666667,0.015903965962404874,3,1.0
P03,4a,3,BOTTOM,4,348,348.0,-0.3989566666666667,0.016832496348828732,1,0.3333333333333333
P03,4a,3,BOTTOM,5,148,148.0,-0.39687333333333336,0.008695759502960814,1,0.3333333333333333
P03,5,2,TOP,1,180,180.0,0.10208,0.0035638181771802013,1,0.5
P03,5,2,TOP,2,262,262.0,0.09842000000000001,0.0032809754647055746,1,0.5
P03,5,2,TOP,3,191,191.0,0.098245,0.0042638538905548865,1,0.5
P03,5,2,TOP,4,341,341.0,0.09717,0.0027152900397563397,0,0.0
P03,5,2,TOP,5,242,242.0,0.09623999999999999,0.003818376618407358,0,0.0
P03,5,2,BOTTOM,1,68,68.0,-0.3627,0.03693925824918525,2,1.0
P03,5,2,BOTTOM,2,67,67.0,-0.341475,0.1335795420339507,2,1.0
P03,5,2,BOTTOM,3,107,107.0,-0.28081500000000004,0.1374686293304767,2,1.0
P03,5,2,BOTTOM,4,108,108.0,-0.23770999999999998,0.07261986642785842,2,1.0
P03,5,2,BOTTOM,5,147,147.0,-0.202305,0.0032597622612699664,1,0.5
