motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,4a,3,1,geometric,0.022746741421468247,0.003581259852365628
P03,4a,3,2,geometric,0.005107945370370665,0.0024499686646510775
P03,4a,3,3,motor,0.002563843924428425,0.001962869592317262
P03,4a,3,4,geometric,0.005012412564095012,0.00013835648430924507
P03,4a,3,6,motor,0.002791996795337646,0.001325027225314081
P03,4a,3,8,geometric,0.0015468654226767182,0.0006517947054567821
P03,4a,3,9,motor,0.02880525694008568,0.0010644603750466501
P03,4a,3,12,motor,0.016665318313267962,0.0013337409303286305
P03,4a,3,18,motor,0.026550682940825066,0.001348732449893666
P03,4a,3,27,motor,0.01807557689120907,0.0017494101601507322
P03,4a,3,36,motor,0.14381157227902966,0.0036155727512737473
P03,4a,3,45,motor,0.01394318717021543,0.0007348035941245119
P03,4a,3,72,motor,0.02919086199142239,0.003225294649542749
P03,4a,3,108,motor,0.00851793858401989,0.0034811262630794365
P03,5,2,1,geometric,0.015641342350596235,0.0011076963534194593
P03,5,2,2,geometric,0.003097624694853344,0.0004840274148523558
P03,5,2,3,motor,0.0012280534125788853,0.0005501645536217051
P03,5,2,4,geometric,0.0037712639884671315,0.0005584988387369111
P03,5,2,6,motor,0.0018967062323352157,0.001028645130674216
P03,5,2,8,geometric,0.0077932797363820805,0.0014491118730538689
P03,5,2,9,motor,0.016363432525983945,0.0012558791387100006
P03,5,2,12,motor,0.005648138235775215,0.003930311560161507
P03,5,2,18,motor,0.015376712901725459,0.002602882740115736
P03,5,2,27,motor,0.007984837364933335,0.00419449995471688
P03,5,2,36,motor,0.10744351664709184,0.004321340672278751
P03,5,2,45,motor,0.007910766144160527,0.0028372040570278207
P03,5,2,72,motor,0.0071804075902682715,0.0008207448560686532
P03,5,2,108,motor,0.017948441495339532,0.00037914087788444475
