SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,V5.4a-R1,S2-P03-JIG7-remount01-test-2-v5-4a.txt,2,2,1,OFFICIAL,1,Aug  6 2026 12:12:54,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.14047493181626755,0.00030493181626756183,11525.0,33.5,0.10171,0.52,0.14017,0.1201,-0.024682861111111114,-0.0043560000000000265,0.515644,0.12045059168196837,0.000350591681968368,0.5316299999999999,0.52889,0.26581499999999997
2,V5.4a-R1,S2-P03-JIG7-remount01-test-2-v5-4a.txt,3,3,2,OFFICIAL,1,Aug  6 2026 12:12:54,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.14765302139210343,0.0008730213921034347,11530.0,38.5,0.08497,0.54,0.14678,0.12633,-0.02872083333333333,0.0041399999999999215,0.54414,0.1270397133746198,0.0007097133746198081,0.60443,0.59841,0.302215
3,V5.4a-R1,S2-P03-JIG7-remount01-test-2-v5-4a.txt,4,4,3,OFFICIAL,1,Aug  6 2026 12:12:54,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.14330676362871766,0.0003367636287176512,11524.0,32.5,0.09982,0.54,0.14297,0.12369,-0.02883325,0.0021419999999999773,0.542142,0.1240451335099167,0.0003551335099166997,0.6430800000000001,0.64167,0.32154000000000005
4,V5.5-R1,S2-P03-JIG7-remount01-test-1-v5-5.txt,2,2,1,OFFICIAL,1,Aug  6 2026 13:40:02,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.11049916594027745,0.0006591659402774563,11341.0,-150.5,0.09338,0.45,0.10984,0.09173,-0.011839805555555557,-0.00020199999999997997,0.44979800000000003,0.09208749468555538,0.0003574946855553762,0.54628,0.54674,0.27314
5,V5.5-R1,S2-P03-JIG7-remount01-test-1-v5-5.txt,3,3,2,OFFICIAL,1,Aug  6 2026 13:40:02,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.10438786735390627,0.0005878673539062712,11350.0,-141.5,0.08909,0.34,0.1038,0.0855,-0.0074701111111111105,-0.0024839999999999862,0.33751600000000004,0.0860485007971208,0.0005485007971207934,0.44943,0.44023,0.224715
6,V5.4a-R2,S2-P03-JIG7-remount02-test-2-v5-4a.txt,6,6,1,OFFICIAL,1,Aug  6 2026 12:12:54,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.1520621064693797,0.0006821064693797174,11355.0,-136.5,0.11759,0.58,0.15138,0.13203,-0.03311061111111111,0.0030839999999999756,0.5830839999999999,0.1327672142350575,0.0007372142350574873,0.6759999999999999,0.67137,0.33799999999999997
7,V5.4a-R2,S2-P03-JIG7-remount02-test-2-v5-4a.txt,7,7,2,OFFICIAL,1,Aug  6 2026 12:12:54,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.16303863220970993,0.0007086322097099307,11437.0,-54.5,0.07665,0.59,0.16233,0.13703,-0.04566633333333333,0.0007820000000000604,0.590782,0.1377147410244976,0.0006847410244975871,0.61197,0.60476,0.305985
8,V5.5-R2,S2-P03-JIG7-remount02-test-1-v5-5.txt,6,6,1,OFFICIAL,1,Aug  6 2026 13:40:02,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.11178828290923129,0.0004082829092312834,11617.0,125.5,0.09381,0.48,0.11138,0.09451,-0.016845166666666668,0.004161999999999999,0.484162,0.0948400711313232,0.00033007113132320354,0.63049,0.63025,0.315245
9,V5.5-R2,S2-P03-JIG7-remount02-test-1-v5-5.txt,7,7,2,OFFICIAL,1,Aug  6 2026 13:40:02,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.10896936779946138,0.00036936779946138143,11616.0,124.5,0.07768,0.48,0.1086,0.09263,-0.015085777777777778,0.0008819999999999939,0.480882,0.0930952003414638,0.0004652003414638006,0.57684,0.57275,0.28842
10,V5.5-R2,S2-P03-JIG7-remount02-test-1-v5-5.txt,8,8,3,OFFICIAL,1,Aug  6 2026 13:40:02,SCURVE_CW_PREROLL_LOCAL_REVERSAL_CONTROL_V1,ONE_FULL_SWEEP_120S_V1_FAST3,0.10905446933819679,0.0007144693381967854,11620.0,128.5,0.10171,0.46,0.10834,0.09321,-0.012931222222222222,-0.0006019999999999914,0.45939800000000003,0.09363392323093848,0.0004239232309384833,0.61133,0.61197,0.305665
