leg,motor_id,jig_id,kind,rank,point_index,sweep_angle_deg,mean_error_deg,pointwise_sd_deg,selection_count,selection_rate
A1,UNKNOWN,JIG7,TOP,1,292,292.0,0.10582,0.01940301007575886,1,0.5
A1,UNKNOWN,JIG7,TOP,2,261,261.0,0.10503,0.012063241687042495,1,0.5
A1,UNKNOWN,JIG7,TOP,3,173,173.0,0.102415,0.008110514780209696,1,0.5
A1,UNKNOWN,JIG7,TOP,4,172,172.0,0.09861500000000001,0.01745846642749586,1,0.5
A1,UNKNOWN,JIG7,TOP,5,121,121.0,0.09687499999999999,0.011037936854322005,1,0.5
A1,UNKNOWN,JIG7,BOTTOM,1,68,68.0,-0.459915,0.02130512731715067,2,1.0
A1,UNKNOWN,JIG7,BOTTOM,2,69,69.0,-0.45477,0.060853609588914295,1,0.5
A1,UNKNOWN,JIG7,BOTTOM,3,98,98.0,-0.4366,0.07414721707522139,1,0.5
A1,UNKNOWN,JIG7,BOTTOM,4,348,348.0,-0.433655,0.09157739923146978,1,0.5
A1,UNKNOWN,JIG7,BOTTOM,5,108,108.0,-0.42423999999999995,0.1869873172169706,1,0.5
B,UNKNOWN,JIG7,TOP,1,141,141.0,0.10103333333333332,0.012545526427110718,1,0.3333333333333333
B,UNKNOWN,JIG7,TOP,2,111,111.0,0.09901333333333333,0.004541325063605705,1,0.3333333333333333
B,UNKNOWN,JIG7,TOP,3,330,330.0,0.09715666666666667,0.006431456548351499,1,0.3333333333333333
B,UNKNOWN,JIG7,TOP,4,83,83.0,0.09713,0.019551562597398705,1,0.3333333333333333
B,UNKNOWN,JIG7,TOP,5,33,33.0,0.09495666666666668,0.01519308175892348,2,0.6666666666666666
B,UNKNOWN,JIG7,BOTTOM,1,67,67.0,-0.4925466666666667,0.0272938845409248,3,1.0
B,UNKNOWN,JIG7,BOTTOM,2,68,68.0,-0.46778000000000003,0.01842655420853286,3,1.0
B,UNKNOWN,JIG7,BOTTOM,3,107,107.0,-0.3252366666666667,0.021057961281504296,3,1.0
B,UNKNOWN,JIG7,BOTTOM,4,347,347.0,-0.28146333333333334,0.04485785364162371,3,1.0
B,UNKNOWN,JIG7,BOTTOM,5,108,108.0,-0.2742866666666667,0.02644956395355761,3,1.0
A2,UNKNOWN,JIG7,TOP,1,292,292.0,0.10582,0.01940301007575886,1,0.5
A2,UNKNOWN,JIG7,TOP,2,261,261.0,0.10503,0.012063241687042495,1,0.5
A2,UNKNOWN,JIG7,TOP,3,173,173.0,0.102415,0.008110514780209696,1,0.5
A2,UNKNOWN,JIG7,TOP,4,172,172.0,0.09861500000000001,0.01745846642749586,1,0.5
A2,UNKNOWN,JIG7,TOP,5,121,121.0,0.09687499999999999,0.011037936854322005,1,0.5
A2,UNKNOWN,JIG7,BOTTOM,1,68,68.0,-0.459915,0.02130512731715067,2,1.0
A2,UNKNOWN,JIG7,BOTTOM,2,69,69.0,-0.45477,0.060853609588914295,1,0.5
A2,UNKNOWN,JIG7,BOTTOM,3,98,98.0,-0.4366,0.07414721707522139,1,0.5
A2,UNKNOWN,JIG7,BOTTOM,4,348,348.0,-0.433655,0.09157739923146978,1,0.5
A2,UNKNOWN,JIG7,BOTTOM,5,108,108.0,-0.42423999999999995,0.1869873172169706,1,0.5
