point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
0,0.0,0.01034,0.019841416280094525,0.04972847222222222,0.010963179954066562,0.0,0.0,0.00037333333333333316,0.013417802850442145,0.015327388888888889,0.011632757555129382,0.0,0.0,0.01034,0.019841416280094525,0.04972847222222222,0.010963179954066562,0.0,0.0,0.01034,0.04972847222222222,-0.009966666666666667,-0.03440108333333333,0,0.0,0.015327388888888889,-0.03440108333333333
1,1.0,0.07638,0.00025455844122715653,0.11576847222222222,0.009132794767255105,0.0,0.0,0.08532,0.0005999999999999964,0.10027405555555556,0.0017058780739215886,0.0,0.0,0.07638,0.00025455844122715653,0.11576847222222222,0.009132794767255105,0.0,0.0,0.07638,0.11576847222222222,0.00893999999999999,-0.015494416666666663,1,1.0,0.10027405555555556,-0.015494416666666663
2,2.0,0.07205,0.011002581515262682,0.11143847222222221,0.01988081784129064,0.0,0.0,0.07971,0.017242728902351855,0.09466405555555556,0.01591208225436737,0.0,0.0,0.07205,0.011002581515262682,0.11143847222222221,0.01988081784129064,0.0,0.0,0.07205,0.11143847222222221,0.00766,-0.016774416666666653,2,2.0,0.09466405555555556,-0.016774416666666653
3,3.0,0.07797,0.014028998538741101,0.11735847222222222,0.022907234864769067,0.0,0.0,0.07658,0.02046589602240762,0.09153405555555556,0.02047105162045983,0.0,0.0,0.07797,0.014028998538741101,0.11735847222222222,0.022907234864769067,0.0,0.0,0.07797,0.11735847222222222,-0.0013900000000000023,-0.025824416666666655,3,3.0,0.09153405555555556,-0.025824416666666655
4,4.0,0.06459,0.003577960312803932,0.10397847222222223,0.005300276013224021,0.0,0.0,0.06549,0.016575656849729965,0.08044405555555556,0.014616507866973853,0.0,0.0,0.06459,0.003577960312803932,0.10397847222222223,0.005300276013224021,0.0,0.0,0.06459,0.10397847222222223,0.0009000000000000119,-0.02353441666666667,4,4.0,0.08044405555555556,-0.02353441666666667
5,5.0,-0.040345,0.022592061658910194,-0.0009565277777777801,0.03147029798493815,0.0,0.0,-0.08074333333333333,0.009837262491838542,-0.06578927777777778,0.01165557501335629,0.0,0.0,-0.040345,0.022592061658910194,-0.0009565277777777801,0.03147029798493815,0.0,0.0,-0.040345,-0.0009565277777777801,-0.040398333333333335,-0.06483275,5,5.0,-0.06578927777777778,-0.06483275
6,6.0,-0.06944,0.020152543263816602,-0.03005152777777778,0.02903077958984456,0.0,0.0,-0.07957000000000002,0.006197039615816571,-0.06461594444444445,0.007852022138898561,0.0,0.0,-0.06944,0.020152543263816602,-0.03005152777777778,0.02903077958984456,0.0,0.0,-0.06944,-0.03005152777777778,-0.010130000000000014,-0.03456441666666667,6,6.0,-0.06461594444444445,-0.03456441666666667
7,7.0,-0.09642,0.0038325187540310837,-0.05703152777777778,0.005045717571996875,0.0,0.0,-0.09871333333333333,0.011114213122544186,-0.08375927777777777,0.01222493794589012,0.0,0.0,-0.09642,0.0038325187540310837,-0.05703152777777778,0.005045717571996875,0.0,0.0,-0.09642,-0.05703152777777778,-0.002293333333333328,-0.026727749999999988,7,7.0,-0.08375927777777777,-0.026727749999999988
8,8.0,-0.38615,0.020025264043203036,-0.3467615277777778,0.028903500369230964,0.0,0.0,-0.12966,0.03998618261349788,-0.11470594444444444,0.040220465257858995,0.0,0.0,-0.38615,0.020025264043203036,-0.3467615277777778,0.028903500369230964,0.0,0.0,-0.38615,-0.3467615277777778,0.25649,0.23205558333333337,8,8.0,-0.11470594444444444,0.23205558333333337
9,9.0,-0.12725,0.047531717831359725,-0.08786152777777778,0.05640995415738769,0.0,0.0,-0.08614333333333334,0.0050261051852635704,-0.07118927777777778,0.005769763812109721,0.0,0.0,-0.12725,0.047531717831359725,-0.08786152777777778,0.05640995415738769,0.0,0.0,-0.12725,-0.08786152777777778,0.041106666666666666,0.01667225,9,9.0,-0.07118927777777778,0.01667225
