gate,value,limit,result
within_batch_nl_sd,0.07939536360518792,<= 0.03000 deg,FAIL
a_return_nl_shift,0.0,0.05,PASS
a_return_curve_correlation,1.0,>= 0.98000,PASS
a_return_centered_rmse,0.0,<= 0.10000 deg,PASS
cross_jig_nl_delta,0.08115699999999998,0.15772654801162453,PASS
top_tail_delta,0.0007283333333333308,abs <= 0.10000 deg,PASS
bottom_tail_delta,-0.08042866666666665,abs <= 0.10000 deg,PASS
zero_shift_curve_correlation,0.9691590158617707,>= 0.98000,FAIL
zero_shift_centered_rmse,0.02280130771329872,<= 0.10000 deg,PASS
closure,0.10577,abs <= 0.20000 deg,PASS
data_health,invalid=2; config=PASS,0 invalid OFFICIAL; CONFIG=PASS,FAIL
