Label,Signal,Order,Amplitude
P02-JIG7-r1,MeanInitialAbsGapRaw,1,10.6026310011272
P02-JIG7-r1,MeanInitialAbsGapRaw,2,8.92285820152694
P02-JIG7-r1,MeanInitialAbsGapRaw,3,10.0583575778937
P02-JIG7-r1,MeanInitialAbsGapRaw,4,3.27294764262198
P02-JIG7-r1,MeanInitialAbsGapRaw,6,3.1003693371027
P02-JIG7-r1,MeanInitialAbsGapRaw,36,34.5216832016735
P02-JIG7-r1,MeanIterations,1,0.144813890124158
P02-JIG7-r1,MeanIterations,2,0.355540462403638
P02-JIG7-r1,MeanIterations,3,0.267332735391087
P02-JIG7-r1,MeanIterations,4,0.395245642556742
P02-JIG7-r1,MeanIterations,6,0.0739802895126487
P02-JIG7-r1,MeanIterations,36,0.804820716122995
P02-JIG7-r1,MeanTimeToDeadbandMs,1,2.60747361665127
P02-JIG7-r1,MeanTimeToDeadbandMs,2,3.43311993504446
P02-JIG7-r1,MeanTimeToDeadbandMs,3,4.86672753607372
P02-JIG7-r1,MeanTimeToDeadbandMs,4,2.8216263380508
P02-JIG7-r1,MeanTimeToDeadbandMs,6,0.534413224792065
P02-JIG7-r1,MeanTimeToDeadbandMs,36,6.8849247788882
P02-JIG7-r1,ReachedDeadbandPct,1,3.19637810800585
P02-JIG7-r1,ReachedDeadbandPct,2,2.61163616804054
P02-JIG7-r1,ReachedDeadbandPct,3,1.71552211603039
P02-JIG7-r1,ReachedDeadbandPct,4,0.61572877803655
P02-JIG7-r1,ReachedDeadbandPct,6,1.65834090714879
P02-JIG7-r1,ReachedDeadbandPct,36,2.94239814952919
P09-JIG8-r1,MeanInitialAbsGapRaw,1,4.94874694798006
P09-JIG8-r1,MeanInitialAbsGapRaw,2,3.16913890694128
P09-JIG8-r1,MeanInitialAbsGapRaw,3,2.65027551210583
P09-JIG8-r1,MeanInitialAbsGapRaw,4,1.26381027992516
P09-JIG8-r1,MeanInitialAbsGapRaw,6,4.11297156995029
P09-JIG8-r1,MeanInitialAbsGapRaw,36,5.99736082156985
P09-JIG8-r1,MeanIterations,1,0.437476136984732
P09-JIG8-r1,MeanIterations,2,0.27906050744069
P09-JIG8-r1,MeanIterations,3,0.493258835448135
P09-JIG8-r1,MeanIterations,4,0.613924752564725
P09-JIG8-r1,MeanIterations,6,0.546260239543321
P09-JIG8-r1,MeanIterations,36,2.11254409566078
P09-JIG8-r1,MeanTimeToDeadbandMs,1,5.07605910116219
P09-JIG8-r1,MeanTimeToDeadbandMs,2,3.05611025528163
P09-JIG8-r1,MeanTimeToDeadbandMs,3,4.79041231046767
P09-JIG8-r1,MeanTimeToDeadbandMs,4,4.11052244208194
P09-JIG8-r1,MeanTimeToDeadbandMs,6,4.7668195039327
P09-JIG8-r1,MeanTimeToDeadbandMs,36,16.9974486775269
P09-JIG8-r1,ReachedDeadbandPct,1,0.753273420857512
P09-JIG8-r1,ReachedDeadbandPct,2,0.75320668084676
P09-JIG8-r1,ReachedDeadbandPct,3,0.753095457717455
P09-JIG8-r1,ReachedDeadbandPct,4,0.752939766804297
P09-JIG8-r1,ReachedDeadbandPct,6,0.752495073656049
P09-JIG8-r1,ReachedDeadbandPct,36,0.724894689578198
P09-JIG8-r2,MeanInitialAbsGapRaw,1,7.16508310175864
P09-JIG8-r2,MeanInitialAbsGapRaw,2,2.59723093879142
P09-JIG8-r2,MeanInitialAbsGapRaw,3,4.72673429844309
P09-JIG8-r2,MeanInitialAbsGapRaw,4,4.43220889623458
P09-JIG8-r2,MeanInitialAbsGapRaw,6,2.52850071287884
P09-JIG8-r2,MeanInitialAbsGapRaw,36,11.6080828162498
P09-JIG8-r2,MeanIterations,1,0.445840140091174
P09-JIG8-r2,MeanIterations,2,0.412719355963732
P09-JIG8-r2,MeanIterations,3,0.438667973707219
P09-JIG8-r2,MeanIterations,4,0.431601025473416
P09-JIG8-r2,MeanIterations,6,0.361959731409915
P09-JIG8-r2,MeanIterations,36,3.91897187639935
P09-JIG8-r2,MeanTimeToDeadbandMs,1,5.36319372913937
P09-JIG8-r2,MeanTimeToDeadbandMs,2,3.22184169514444
P09-JIG8-r2,MeanTimeToDeadbandMs,3,4.68544213958547
P09-JIG8-r2,MeanTimeToDeadbandMs,4,4.23806143428666
P09-JIG8-r2,MeanTimeToDeadbandMs,6,2.77310789257533
P09-JIG8-r2,MeanTimeToDeadbandMs,36,31.7932648335404
P09-JIG8-r2,ReachedDeadbandPct,1,1.53589031136535
P09-JIG8-r2,ReachedDeadbandPct,2,0.812244908902351
P09-JIG8-r2,ReachedDeadbandPct,3,1.18852117023033
P09-JIG8-r2,ReachedDeadbandPct,4,1.79269365805381
P09-JIG8-r2,ReachedDeadbandPct,6,1.05164326303464
P09-JIG8-r2,ReachedDeadbandPct,36,0.708763719547248
P09-JIG8-r3,MeanInitialAbsGapRaw,1,10.2914509134225
P09-JIG8-r3,MeanInitialAbsGapRaw,2,2.3548056137071
P09-JIG8-r3,MeanInitialAbsGapRaw,3,3.99784165912739
P09-JIG8-r3,MeanInitialAbsGapRaw,4,7.02007929038065
P09-JIG8-r3,MeanInitialAbsGapRaw,6,1.84384507856009
P09-JIG8-r3,MeanInitialAbsGapRaw,36,11.3188703999173
P09-JIG8-r3,MeanIterations,1,1.07397228031155
P09-JIG8-r3,MeanIterations,2,0.168391787374018
