Label,TestID,SweepID,JigID,LockDurationMs,LockCommands,LockTimingOverruns,RampSegments,RampCommands,RampTimingOverruns,MaxLatenessTicks,ObservedBacktracks,MaxObservedBacktrackRaw,BacktrackRatePct
P02-JIG7-r1,1,1,JIG7,839,640,0,432,17280,0,0,2913,124,16.8576388888889
P02-JIG7-r1,2,2,JIG7,839,640,0,432,17280,0,0,2935,128,16.9849537037037
P02-JIG7-r1,3,3,JIG7,839,640,0,432,17280,0,0,2922,123,16.9097222222222
P02-JIG7-r1,4,4,JIG7,839,640,0,432,17280,0,0,2898,126,16.7708333333333
P09-JIG8-r1,1,1,JIG8,879,680,0,432,17280,0,0,2113,80,12.2280092592593
P09-JIG8-r1,2,2,JIG8,799,600,0,432,17280,0,0,1884,81,10.9027777777778
P09-JIG8-r1,3,3,JIG8,799,600,0,432,17280,0,0,2043,79,11.8229166666667
P09-JIG8-r1,4,4,JIG8,799,600,0,432,17280,0,0,1893,74,10.9548611111111
P09-JIG8-r2,5,5,JIG8,959,760,0,432,17280,0,0,2105,78,12.181712962963
P09-JIG8-r2,6,6,JIG8,839,640,0,432,17280,0,0,2062,83,11.9328703703704
P09-JIG8-r2,7,7,JIG8,839,640,0,432,17280,0,0,2072,73,11.9907407407407
P09-JIG8-r2,8,8,JIG8,839,640,0,432,17280,0,0,1828,74,10.5787037037037
P09-JIG8-r3,9,9,JIG8,919,720,0,432,17280,0,0,2142,76,12.3958333333333
P09-JIG8-r3,10,10,JIG8,839,640,0,432,17280,0,0,2084,79,12.0601851851852
P09-JIG8-r3,11,11,JIG8,839,640,0,432,17280,0,0,1906,74,11.0300925925926
P09-JIG8-r3,12,12,JIG8,839,640,0,432,17280,0,0,1979,75,11.4525462962963
