Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,10,0.27489841381325847,2.1438388473564967,0.455504973473358,0.20748478085897126,0.015247741671141185,0.18994939853089282,-0.16312489919898038,0.7129217268254973
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,10,6.984878140609976,-2.0694126462948845,0.6773253862580835,0.458769678869668,0.012600645091908575,2.68230121527287,0.7994915381907379,13.170264743029215
ALL,A36_Deg,NL_RobustP2P_Deg,10,2.4855245399891457,0.9894893474808226,0.4020599656380659,0.16165221596886648,0.015682447067890792,2.0012177259081123,-2.1292835359549613,7.100332615933253
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,10,0.5363834053459795,3.108711929204006,0.7324489777524326,0.5364815050105813,0.011660985461021997,0.1762732843091539,0.1298972117290706,0.9428695989628884
ALL,ApproachReturnErrorDeg,NL_RobustP2P_Deg,10,-0.2741546160737801,3.069636771541502,-0.34963643397161637,0.12224563596038696,0.01604679183017924,0.25972896553614494,-0.8730896106001304,0.32478037845257013
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,10,-0.004224785234899357,3.0297283999999878,-0.6732572720494049,0.4532753543674056,0.012664441606576027,0.001640449690794085,-0.008007662221870517,-0.00044190824792819704
P06_R1,ShadowP2P_Deg,NL_RobustP2P_Deg,10,0.27489841381325847,2.1438388473564967,0.455504973473358,0.20748478085897126,0.015247741671141185,0.18994939853089282,-0.16312489919898038,0.7129217268254973
P06_R1,RMS_AC_Deg,NL_RobustP2P_Deg,10,6.984878140609976,-2.0694126462948845,0.6773253862580835,0.458769678869668,0.012600645091908575,2.68230121527287,0.7994915381907379,13.170264743029215
P06_R1,A36_Deg,NL_RobustP2P_Deg,10,2.4855245399891457,0.9894893474808226,0.4020599656380659,0.16165221596886648,0.015682447067890792,2.0012177259081123,-2.1292835359549613,7.100332615933253
P06_R1,ClosureErrorDeg,NL_RobustP2P_Deg,10,0.5363834053459795,3.108711929204006,0.7324489777524326,0.5364815050105813,0.011660985461021997,0.1762732843091539,0.1298972117290706,0.9428695989628884
P06_R1,ApproachReturnErrorDeg,NL_RobustP2P_Deg,10,-0.2741546160737801,3.069636771541502,-0.34963643397161637,0.12224563596038696,0.01604679183017924,0.25972896553614494,-0.8730896106001304,0.32478037845257013
P06_R1,AnalysisStartRawCentered,NL_RobustP2P_Deg,10,-0.004224785234899357,3.0297283999999878,-0.6732572720494049,0.4532753543674056,0.012664441606576027,0.001640449690794085,-0.008007662221870517,-0.00044190824792819704
