SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ApproachReturnErrorDeg,ApproachReturnErrorRaw,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,47,46,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.827008738040471,6.873804047102805e-05,64396.0,-5.80000000000291,0.15380859375,28.0,-0.13536,3.05,0.82694,0.73297,-0.09408727777777778,-0.004361999999999533,3.0456380000000003,0.7328299924875183,-0.00014000751248166576,3.2067300000000003,3.20732,1.6033650000000002
2,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,48,47,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8209333642620719,9.336426207184889e-05,64404.0,2.1999999999970896,0.1812744140625,33.0,-0.16128,3.01,0.82084,0.7291,-0.05664319444444444,-0.0011979999999995883,3.008802,0.7292027816123472,0.00010278161234722472,3.20599,3.20063,1.602995
3,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,49,48,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8215684361852412,8.436185241267324e-06,64403.0,1.1999999999970896,0.1373291015625,25.0,-0.17621,3.01,0.82156,0.72995,-0.09977477777777778,0.0023860000000004433,3.0123860000000002,0.7299613989006204,1.1398900620407382e-05,3.2200699999999998,3.21041,1.6100349999999999
4,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,50,49,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8217174439457537,0.00010744394575379346,64401.0,-0.8000000000029104,0.1593017578125,29.0,-0.11089,3.04,0.82161,0.73166,-0.11421988888888888,0.00013199999999979894,3.040132,0.7316701725158898,1.0172515889861344e-05,3.24073,3.23599,1.620365
5,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,51,50,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8200392497142078,0.00024924971420781095,64401.0,-0.8000000000029104,0.1263427734375,23.0,-0.14591,3.06,0.81979,0.73024,-0.1223675,-0.003626000000000129,3.056374,0.7302324383398412,-7.561660158805772e-06,3.23862,3.23333,1.61931
6,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,52,51,6,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.820121606686169,-0.0004883933138309926,64400.0,-1.8000000000029104,0.1483154296875,27.0,-0.16016,3.03,0.82061,0.72981,-0.11729519444444444,-0.004509999999999792,3.02549,0.7294320945807132,-0.00037790541928672816,3.24228,3.2444,1.62114
7,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,53,52,7,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8212480475742407,-0.00010195242575927743,64402.0,0.19999999999708962,0.164794921875,30.0,-0.13287,3.03,0.82135,0.72985,-0.11044069444444446,0.003150000000000208,3.03315,0.7299995302965125,0.00014953029651254557,3.24088,3.24122,1.62044
8,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,54,53,8,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8174822711533059,-0.00015772884669418286,64404.0,2.1999999999970896,0.1318359375,24.0,-0.15235,3.02,0.81764,0.72789,-0.12020158333333333,0.0023680000000001478,3.022368,0.7278078186837617,-8.218131623838332e-05,3.25259,3.25367,1.626295
9,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,55,54,9,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8205895557010067,2.9555701006711566e-05,64402.0,0.19999999999708962,0.10986328125,20.0,-0.12162,3.04,0.82056,0.7313,-0.12413986111111111,0.0011660000000000004,3.041166,0.7311531482716057,-0.0001468517283942372,3.22934,3.23444,1.61467
10,P06_R1,B0-B p06 jig 1 test 23 lần 1.txt,56,55,10,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8177761344795189,-0.00017386552048104242,64405.0,3.1999999999970896,0.142822265625,26.0,-0.17587,3.01,0.81795,0.72823,-0.11420288888888888,0.0017779999999998353,3.0117779999999996,0.727968329092832,-0.000261670907167999,3.17001,3.16466,1.585005
