motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P05,01,3,1,geometric,0.49919424682336827,0.0036804519508402797
P05,01,3,2,geometric,0.1703961976472781,0.0019050385405321474
P05,01,3,3,motor,0.09400758002719307,0.005099858895786287
P05,01,3,4,geometric,0.060602267355802875,0.004392999297087486
P05,01,3,6,motor,0.003395847336284999,0.0009609730168348902
P05,01,3,8,geometric,0.014181494740088606,0.0004292974205854162
P05,01,3,9,motor,0.27801045781692374,0.0008944797001945338
P05,01,3,12,motor,0.02584445272559673,0.0007104970365013309
P05,01,3,18,motor,0.1013360670836002,0.0009134499984805186
P05,01,3,27,motor,0.06308448155565388,0.0003932012684204212
P05,01,3,36,motor,0.8566191140850385,0.0008772852428564761
P05,01,3,45,motor,0.07923793153925802,0.00029517117216672136
P05,01,3,72,motor,0.16465690230221622,0.0008079637488238841
P05,01,3,108,motor,0.0938942676114954,0.0005769122309110494
P05,02,3,1,geometric,0.5129701743166688,0.001771887455996695
P05,02,3,2,geometric,0.1667526888405718,0.0021149714140337086
P05,02,3,3,motor,0.09162115776350584,0.0024589500145539424
P05,02,3,4,geometric,0.059089038900231095,0.0005164944539579702
P05,02,3,6,motor,0.00363432074456977,0.00017991395885798422
P05,02,3,8,geometric,0.015660491276309068,0.0006224463555724125
P05,02,3,9,motor,0.2768153439745326,0.0014231610594203075
P05,02,3,12,motor,0.025190270023393958,0.0008060251510129564
P05,02,3,18,motor,0.10196093652096942,0.0005763644705499867
P05,02,3,27,motor,0.06414012391759445,0.0009453660461205567
P05,02,3,36,motor,0.8527917288364031,0.0004900020626093869
P05,02,3,45,motor,0.07867690188255776,0.0005969293971448271
P05,02,3,72,motor,0.16255921016029282,0.000858740677378002
P05,02,3,108,motor,0.09265452170314076,0.0007787616074784424
P05,03,3,1,geometric,0.5083644799026704,0.004315827952003001
P05,03,3,2,geometric,0.1652721042952792,0.0008794815911596474
P05,03,3,3,motor,0.09342220488597226,0.0013378529327148403
P05,03,3,4,geometric,0.058558921569545584,0.0011084758348794213
P05,03,3,6,motor,0.002720176062417356,0.0011799198174007243
P05,03,3,8,geometric,0.01394982792534479,0.0002678091703106266
P05,03,3,9,motor,0.27782130389202503,0.0007651586486349522
P05,03,3,12,motor,0.02456029969600274,0.0010845512746975531
P05,03,3,18,motor,0.10208594953550616,6.586850218172443e-05
P05,03,3,27,motor,0.06468873568492774,0.0013355503869554432
P05,03,3,36,motor,0.8518904591872727,0.0004775218563618748
P05,03,3,45,motor,0.07970105375409627,0.00016603237625992636
P05,03,3,72,motor,0.16185543305900466,0.0002906747770035568
P05,03,3,108,motor,0.09153024982621823,0.0007385376997337408
