Run,File,Profile,Result,GatePass,TargetPowerPercent,EvidenceCount,BaselineRaw,StartModuloRaw,FinalTravelDeg,MaxAbsTravelDeg,MaxAbsStepRaw,HoldDriftDeg,HoldStdDeg,HoldP2PDeg,Tail20StdDeg,Tail20P2PDeg,SettledModuloRaw,FinalModuloRaw,MovedOverPoint1Deg,EvidenceHash,DuplicateOf,Included
A2C lần 1,C:\learn\rd\jig\A2C lần 1.txt,CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,OK,1,6,1001,51507,7815,-0.0494384765625,0.054931640625,9,0,0.0111061888121517,0.0604248046875,0.0106516403117058,0.0439453125,7809.162,7806,0,ab5ac68724e40a13faf88d94230a7a46b3eb4fa93032d45bf4fba2c63e0901ce,,1
A2C lần 2,C:\learn\rd\jig\A2C lần 2.txt,CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,OK,1,6,1001,38791,6022,0.263671875,0.28564453125,7,0.0274658203125,0.011003760583663,0.06591796875,0.00814767900193615,0.032958984375,6068.464,6070,1,af35523b15ac092dec68c9a14b70366c0fad60b39f31d2796a39d99132527f72,,1
A2C lần 3,C:\learn\rd\jig\A2C lần 3.txt,CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,OK,1,6,1001,33261,492,-0.1702880859375,0.208740234375,8,0.010986328125,0.0101883667272927,0.054931640625,0.00926946003882909,0.032958984375,459.366000000002,461,1,9b81725e00b2dbabf8764c1adbd57e361c82d088d2a2fac22cd366ead8cf8f14,,1
A2C lần 4,C:\learn\rd\jig\A2C lần 4.txt,CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,OK,1,6,1001,24079,2233,0.1593017578125,0.186767578125,10,0.010986328125,0.0129451349991006,0.076904296875,0.00852768385414674,0.0274658203125,2261.022,2262,1,e4a665641edfc40b7c181149285d1309f6f144a7ecb609e895361696c4ce5065,,1
A2C lần 5,C:\learn\rd\jig\A2C lần 5.txt,CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,OK,1,6,1001,57283,2668,0.032958984375,0.076904296875,9,-0.0054931640625,0.00968356175511635,0.054931640625,0.00755185203636522,0.02197265625,2676.02,2674,0,da68f80d87a0e3ac9bf09a7c94dbdd36922d22c62c020e2135fc4da2b1d57f1f,,1
A2D lần 1,C:\learn\rd\jig\A2D lần 1.txt,CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,OK,1,7,1001,48173,4481,0.28564453125,0.3076171875,10,0.010986328125,0.0111419134585358,0.054931640625,0.0105484484452541,0.0384521484375,4532.148,4533,1,47791f6977d111607cbf2d1e8b01a2d3f16aea9bf9a6a19b9ae0193820d871a6,,1
A2D lần 2,C:\learn\rd\jig\A2D lần 2.txt,CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,OK,1,7,1001,42664,9895,-1.1041259765625,1.12060546875,9,-0.0384521484375,0.0132497622338141,0.0714111328125,0.00926946003882909,0.032958984375,9696.506,9694,1,da1c84c875d831d6061dc37d17ad013277a3e31c9b2a7385060e1db9eb08fc61,,1
A2D lần 3,C:\learn\rd\jig\A2D lần 3.txt,CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,OK,1,7,1001,31423,9577,-0.2142333984375,0.2471923828125,10,0,0.0113176191217892,0.06591796875,0.0107748661629271,0.0439453125,9537.818,9538,1,c47ca108e00d04aefe2553fb4d9415cadef4ed3d1e683519e50441ad6c0039c1,,1
A2D lần 4,C:\learn\rd\jig\A2D lần 4.txt,CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,OK,1,7,1001,11585,662,-0.4833984375,0.516357421875,10,-0.0274658203125,0.0118865774837628,0.0823974609375,0.0104225459990901,0.032958984375,575.959999999999,574,1,5eaaf713b984cee3505d60da3587985c00fbb5b2075df46ecd1c6f81d31ef024,,1
A2D lần 5,C:\learn\rd\jig\A2D lần 5.txt,CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,OK,1,7,1001,49674,5982,0.3680419921875,0.4119873046875,8,-0.0054931640625,0.0117295453892417,0.054931640625,0.0104225459990901,0.0439453125,6051.75,6049,1,02ac49bbbc5ea0aaabae12e8565446f32936e92d10d4ef01868700ed61a0e430,,1
A2E lần 1,C:\learn\rd\jig\A2E lần 1.txt,CONTROL_A2E_FIXED_PHASE_ALIGN_P08_H500_V1,OK,1,8,1001,31579,9733,-0.8953857421875,0.9063720703125,9,-0.0604248046875,0.0130795639230935,0.0823974609375,0.0103644812241833,0.0384521484375,9573.612,9570,1,7b0e6ab006bc0f7c711584b409d039b0e8980d52d3b3b0c3aa7661c1368c2d5f,,1
A2E lần 2,C:\learn\rd\jig\A2E lần 2.txt,CONTROL_A2E_FIXED_PHASE_ALIGN_P08_H500_V1,OK,1,8,1001,9685,9685,-0.3680419921875,0.4119873046875,8,0.010986328125,0.0109749568837346,0.0714111328125,0.0106940491336295,0.0439453125,9616.174,9618,1,9a914a046f5d8c00e01f14c63e7bcb967c0ae02cb5499f7dec092e1924d3f6d9,,1
A2E lần 3,C:\learn\rd\jig\A2E lần 3.txt,CONTROL_A2E_FIXED_PHASE_ALIGN_P08_H500_V1,OK,1,8,1001,46022,2330,0.10986328125,0.1593017578125,9,0.0164794921875,0.0106827565759565,0.054931640625,0.00759170377501021,0.0274658203125,2349.1,2350,1,931e6392936857b060d9cafc23f305444076d87f57a370cdff2f60d75db38011,,1
A2E lần 4,C:\learn\rd\jig\A2E lần 4.txt,CONTROL_A2E_FIXED_PHASE_ALIGN_P08_H500_V1,OK,1,8,1001,26065,4219,0.6756591796875,0.692138671875,10,0.032958984375,0.013047480026653,0.0714111328125,0.0149531150267756,0.0439453125,4338.982,4342,1,1baabfae5f3ed0f031ee3880030e9cfd65217888510e35bdf71504d4669f5ff7,,1
