RUNTIME,FreeHeap=85544,MinEverFreeHeap=85544,TestStackHighWaterWords=910
MA600 noise (last 5s): P2P=91.80deg StdDev=41.20deg Drift=-91.80deg MaxStep=91.74deg N=25 valid=0
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.01deg MaxStep=0.02deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.02deg Drift=-0.04deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.00deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.03deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=0.02deg MaxStep=0.05deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=-0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.03deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=0.00deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.06deg StdDev=0.02deg Drift=-0.02deg MaxStep=0.05deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=-0.02deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.02deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.01deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=-0.04deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.03deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.03deg MaxStep=0.02deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=0.03deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=-0.01deg MaxStep=0.02deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.02deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=0.02deg MaxStep=0.02deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=0.03deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=-0.02deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=0.01deg MaxStep=0.05deg N=25 valid=1
MA600 noise (last 5s): P2P=0.04deg StdDev=0.01deg Drift=0.00deg MaxStep=0.04deg N=25 valid=1
MA600 noise (last 5s): P2P=0.05deg StdDev=0.01deg Drift=-0.02deg MaxStep=0.05deg N=25 valid=1
MA600 noise (last 5s): P2P=0.03deg StdDev=0.01deg Drift=0.01deg MaxStep=0.02deg N=25 valid=1
