MA600 noise (last 5s): P2P=0.07deg StdDev=0.02deg Drift=-0.01deg MaxStep=0.03deg N=25 valid=1
MA600 noise (last 5s): P2P=10.78deg StdDev=2.21deg Drift=2.49deg MaxStep=8.33deg N=25 valid=0
MA600 noise (last 5s): P2P=0.74deg StdDev=0.19deg Drift=0.16deg MaxStep=0.40deg N=25 valid=1
MA600 noise (last 5s): P2P=0.22deg StdDev=0.05deg Drift=-0.10deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.39deg StdDev=0.11deg Drift=-0.36deg MaxStep=0.21deg N=25 valid=1
MA600 noise (last 5s): P2P=0.26deg StdDev=0.05deg Drift=-0.02deg MaxStep=0.17deg N=25 valid=1
MA600 noise (last 5s): P2P=0.21deg StdDev=0.05deg Drift=0.13deg MaxStep=0.18deg N=25 valid=1
MA600 noise (last 5s): P2P=0.90deg StdDev=0.27deg Drift=0.69deg MaxStep=0.70deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.04deg Drift=0.03deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.05deg Drift=-0.05deg MaxStep=0.14deg N=25 valid=1
MA600 noise (last 5s): P2P=0.24deg StdDev=0.07deg Drift=-0.12deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=0.03deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.15deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.09deg N=25 valid=1
MA600 noise (last 5s): P2P=0.24deg StdDev=0.05deg Drift=-0.01deg MaxStep=0.16deg N=25 valid=1
MA600 noise (last 5s): P2P=0.14deg StdDev=0.04deg Drift=0.02deg MaxStep=0.10deg N=25 valid=1
MA600 noise (last 5s): P2P=0.88deg StdDev=0.19deg Drift=-0.65deg MaxStep=0.64deg N=25 valid=1
MA600 noise (last 5s): P2P=0.19deg StdDev=0.05deg Drift=0.04deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.21deg StdDev=0.04deg Drift=-0.01deg MaxStep=0.12deg N=25 valid=1
MA600 noise (last 5s): P2P=0.18deg StdDev=0.05deg Drift=0.13deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.26deg StdDev=0.05deg Drift=-0.03deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.05deg Drift=0.04deg MaxStep=0.15deg N=25 valid=1
MA600 noise (last 5s): P2P=0.30deg StdDev=0.07deg Drift=-0.18deg MaxStep=0.13deg N=25 valid=1
MA600 noise (last 5s): P2P=0.20deg StdDev=0.05deg Drift=-0.07deg MaxStep=0.17deg N=25 valid=1
